checkpoint_timeout,version,clients,tpmC,new_order_count,wal_bytes,wal_bytes_per_new_order,checkpoint_timed_delta,checkpoint_requested_delta,checkpoint_total_delta,checkpoint_buffers_written_delta,checkpoint_write_time_ms_delta,checkpoint_sync_time_ms_delta,avg_latency_ms,p95_latency_ms,p99_latency_ms
30s,mdonrelease,10,224353.37,4487090,88892137840,19810.642942,40,0,40,8511413,1071858.000,1716.000,1.152,3.000,12.000
30s,mdonrelease,50,677752.9,13555171,318743602024,23514.539361,40,0,40,31848661,1070250.000,6186.000,1.906,6.000,15.000
30s,mdonrelease,200,730512.66,14610582,527097102688,36076.393308,40,0,40,53964038,1069264.000,5259.000,7.095,18.000,29.000
30s,mdonrelease,400,687351.21,13749201,637981927440,46401.381974,40,0,40,66775608,1067067.000,5215.000,15.083,37.000,58.000
30s,mdonrelease,800,575251.41,11535507,674683466056,58487.543379,39,0,39,72186939,1199650.000,4859.000,35.964,92.000,163.000
1min,mdonrelease,10,225053.74,4501120,73426928152,16313.035012,20,0,20,6395093,1072530.000,916.000,1.149,3.000,12.000
1min,mdonrelease,50,707293.92,14146020,263162791000,18603.309694,20,0,20,23132049,1073820.000,3594.000,1.826,6.000,15.000
1min,mdonrelease,200,811277.4,16226089,415932175512,25633.544566,20,0,20,39247863,1073634.000,2749.000,6.387,17.000,28.000
1min,mdonrelease,400,768239.82,15368292,496565909144,32311.066782,20,0,20,48418879,1072546.000,2771.000,13.497,36.000,55.000
1min,mdonrelease,800,712483.88,14256375,571238037264,40068.954223,20,0,20,57642707,1070340.000,2711.000,29.108,84.000,138.000
2min,mdonrelease,10,226949.03,4539026,63356030208,13958.067261,10,0,10,4909544,1076354.000,553.000,1.139,3.000,12.000
2min,mdonrelease,50,729566.53,14591586,220584099032,15117.212004,10,0,10,16758568,1076976.000,1491.000,1.769,5.000,15.000
2min,mdonrelease,200,869571.4,17391660,322671564776,18553.235561,10,0,10,26698256,1075899.000,1199.000,5.962,16.000,29.000
2min,mdonrelease,400,811212.87,16229314,375762703568,23153.332517,10,0,10,32972571,1074651.000,1982.000,12.775,37.000,56.000
2min,mdonrelease,800,742086.65,14849191,421102812800,28358.636696,10,0,10,36004591,1074620.000,4338.000,27.934,83.000,134.000
2min,mdonrelease,1200,636313.3,12733117,477984902120,37538.719083,10,0,10,34934066,1074873.000,13872.000,48.888,145.000,255.000
4min,mdonrelease,10,228863.78,4577333,55601644632,12147.170554,5,0,5,3650985,862045.000,167.000,1.130,2.000,12.000
4min,mdonrelease,50,723927.61,14478697,186411983232,12874.914313,5,0,5,11598053,862047.000,734.000,1.783,5.000,15.000
4min,mdonrelease,200,862334.21,17247834,258330485576,14977.560984,5,0,5,16797209,861544.000,667.000,6.008,18.000,34.000
4min,mdonrelease,400,822080.14,16447426,295270995360,17952.413670,1,5,6,20352915,975999.000,1357.000,12.607,38.000,59.000
4min,mdonrelease,800,737350.78,14751833,341177975016,23127.836047,1,5,6,23450272,855586.000,3870.000,28.121,86.000,138.000
4min,mdonrelease,1200,652201.59,13051543,427864481664,32782.674176,0,8,8,27234679,957098.000,17180.000,47.666,141.000,246.000
30s,mdoffrelease,10,225893.62,4517929,31366885960,6942.757613,40,0,40,8466064,1073576.000,1705.000,1.145,3.000,12.000
30s,mdoffrelease,50,710570.65,14211650,99652467752,7012.026595,40,0,40,31830377,1063442.000,7926.000,1.817,6.000,16.000
30s,mdoffrelease,200,947083.53,18944070,135385694832,7146.600220,40,0,40,61769582,1064207.000,6150.000,5.468,15.000,29.000
30s,mdoffrelease,400,904454.8,18095578,131849298792,7286.271751,39,0,39,73534893,1076437.000,6621.000,11.454,31.000,53.000
30s,mdoffrelease,800,887341.41,17754075,131497711064,7406.621357,26,0,26,70001784,1195409.000,5998.000,23.326,70.000,112.000
1min,mdoffrelease,10,226729.53,4534636,31453674088,6936.317289,20,0,20,6403907,1074267.000,1022.000,1.140,3.000,12.000
1min,mdoffrelease,50,730945.05,14619230,102166930216,6988.530190,20,0,20,23150004,1075529.000,3265.000,1.766,6.000,15.000
1min,mdoffrelease,200,963696.96,19274389,137335903392,7125.305160,20,0,20,42588091,1072805.000,3321.000,5.374,15.000,29.000
1min,mdoffrelease,400,945771.92,18919521,137071720368,7244.988939,21,0,21,53388374,1071479.000,3463.000,10.958,32.000,51.000
1min,mdoffrelease,800,904101.46,18086173,133495616384,7381.086999,20,0,20,60661506,1084989.000,6295.000,22.923,71.000,112.000
2min,mdoffrelease,10,229974.51,4599544,31861270816,6927.049902,10,0,10,4976678,1074257.000,610.000,1.124,3.000,12.000
2min,mdoffrelease,50,725089.96,14502174,101347718696,6988.450056,10,0,10,16594319,1077219.000,1862.000,1.781,5.000,16.000
2min,mdoffrelease,200,965097.97,19302426,137372168112,7116.834335,10,0,10,28627476,1076236.000,1686.000,5.367,15.000,30.000
2min,mdoffrelease,400,962534.31,19256269,139095019944,7223.362945,10,0,10,34730477,1075456.000,2233.000,10.766,32.000,50.000
2min,mdoffrelease,800,919900.97,18406130,136092622688,7393.874904,10,0,10,36113682,1074621.000,6346.000,22.521,72.000,113.000
4min,mdoffrelease,10,229994.78,4599934,31862294976,6926.685247,5,0,5,3692470,862657.000,191.000,1.124,3.000,12.000
4min,mdoffrelease,50,740145.98,14803117,103456503768,6988.832404,5,0,5,11681368,862324.000,820.000,1.744,5.000,16.000
4min,mdoffrelease,200,985206.3,19704750,139939130696,7101.796810,5,0,5,16627625,861705.000,981.000,5.257,15.000,30.000
4min,mdoffrelease,400,958933.07,19179173,138227397184,7207.161497,5,0,5,16724565,861654.000,1743.000,10.810,33.000,52.000
4min,mdoffrelease,800,908682.65,18184936,134082164368,7373.254675,5,0,5,15473318,862745.000,3956.000,22.789,73.000,116.000
30s,chunk,10,223677.25,4473575,42286408760,9452.486828,40,0,40,9090438,1068576.000,5684.000,1.156,3.000,13.000
30s,chunk,50,694286.77,13886395,159519629040,11487.475982,40,0,40,34296035,1063802.000,17355.000,1.860,6.000,16.000
30s,chunk,200,791020.26,15820893,248753644040,15723.110196,40,0,40,60632352,1069913.000,28986.000,6.554,17.000,36.000
30s,chunk,400,782394.65,15648180,258568051768,16523.841863,28,0,28,65918156,1180249.000,21345.000,13.257,37.000,76.000
30s,chunk,800,762306.88,15252935,233372553056,15300.173577,16,0,16,55252455,1181245.000,16514.000,27.189,86.000,152.000
1min,chunk,10,219163.47,4383306,37543490024,8565.108168,20,0,20,6826212,1072456.000,2417.000,1.180,3.000,13.000
1min,chunk,50,700858.23,14017702,138474602192,9878.552290,20,0,20,24960917,1070771.000,8837.000,1.842,5.000,16.000
1min,chunk,200,835466.49,16711140,198226298048,11861.925521,21,0,21,43120732,1071081.000,15317.000,6.200,17.000,36.000
1min,chunk,400,801967.56,16043468,230017249136,14337.127679,20,0,20,54711610,1085992.000,14947.000,12.923,37.000,75.000
1min,chunk,800,755215.44,15113598,226178141072,14965.208223,15,0,15,52499412,1157043.000,13299.000,27.421,86.000,150.000
2min,chunk,10,223495.21,4469934,35642562600,7973.845386,10,0,10,5369978,1074128.000,1669.000,1.157,3.000,12.000
