checkpoint_timeout,version,clients,tpmC,new_order_count,wal_bytes,wal_bytes_per_new_order,checkpoint_timed_delta,checkpoint_requested_delta,checkpoint_total_delta,checkpoint_buffers_written_delta,checkpoint_write_time_ms_delta,checkpoint_sync_time_ms_delta,avg_latency_ms,p95_latency_ms,p99_latency_ms
2min,chunk,10,215456.12,4309144,34355452856,7972.686189,10,0,10,5299009,1073853.000,1543.000,1.200,3.000,14.000
2min,chunk,50,712232.34,14245098,127309397440,8937.067154,10,0,10,19318481,1075005.000,4191.000,1.813,6.000,16.000
2min,chunk,200,881849.04,17638965,175748634656,9963.659129,10,0,10,32358234,1074252.000,5870.000,5.875,16.000,34.000
2min,chunk,400,847251.84,16950431,187562760840,11065.368240,10,0,10,38784448,1075084.000,7736.000,12.231,36.000,69.000
2min,chunk,800,807322.13,16159010,197852989272,12244.128153,11,0,11,46553054,1077357.000,5726.000,25.672,83.000,151.000
2min,chunk,1200,726642.28,14550043,177450818576,12195.896505,7,0,7,44817408,1182530.000,6278.000,42.392,128.000,230.000
4min,chunk,10,222070.73,4441448,33504266328,7543.545782,5,0,5,3962224,863138.000,449.000,1.163,3.000,12.000
4min,chunk,50,731294.39,14626083,119469701512,8168.263609,5,0,5,13715792,861708.000,1057.000,1.765,5.000,15.000
4min,chunk,200,892375.85,17848469,155583121736,8716.888924,5,0,5,21198468,862017.000,1609.000,5.808,16.000,35.000
4min,chunk,400,868828.27,17386919,161924976048,9313.034474,5,0,5,25415903,861545.000,2513.000,11.927,35.000,65.000
4min,chunk,800,825111.76,16560282,164193815216,9914.916619,5,0,5,29793913,861529.000,3736.000,24.996,80.000,144.000
4min,chunk,1200,776061.69,15607726,168502568088,10796.099835,5,0,5,36226854,889110.000,2510.000,39.794,126.000,227.000
2min,mdonrelease,10,224857.03,4497197,62466941784,13890.194667,10,0,10,4820668,1074481.000,509.000,1.149,3.000,12.000
2min,mdonrelease,50,732699.96,14654158,220542896080,15049.851113,10,0,10,17508180,1076630.000,1536.000,1.762,5.000,15.000
2min,mdonrelease,200,867787.79,17358880,330299105184,19027.673743,10,0,10,29275659,1076126.000,697.000,5.970,16.000,29.000
2min,mdonrelease,400,825262.8,16508062,375601881048,22752.633292,10,0,10,35197589,1075311.000,591.000,12.561,37.000,57.000
2min,mdonrelease,800,757576.98,15163017,426388499368,28120.294224,10,0,10,41712448,1074223.000,699.000,27.363,82.000,130.000
2min,mdonrelease,1200,603969.01,12123007,464424871792,38309.379166,10,0,10,46610124,1015536.000,830.000,51.224,146.000,282.000
4min,mdonrelease,10,229514.05,4590327,55633530912,12119.731538,5,0,5,3653018,862674.000,138.000,1.126,2.000,13.000
4min,mdonrelease,50,720747.43,14415225,186862929976,12962.886807,5,0,5,12270257,862395.000,537.000,1.791,5.000,16.000
4min,mdonrelease,200,857436.47,17149344,259957241640,15158.436477,5,0,5,19135717,862076.000,256.000,6.042,18.000,34.000
4min,mdonrelease,400,825176.57,16508235,299445752376,18139.174320,1,5,6,25038894,967265.000,377.000,12.565,38.000,58.000
4min,mdonrelease,800,766472.24,15332728,344221794816,22450.133780,1,5,6,32315410,1014307.000,387.000,27.050,83.000,133.000
4min,mdonrelease,1200,641701.98,12905183,430287126736,33342.194895,0,8,8,44121747,964360.000,728.000,48.067,137.000,252.000
