max_wal_size,checkpoint_timeout,version,clients,tpmC,new_order_count,wal_bytes,wal_bytes_per_new_order,checkpoint_timed_delta,checkpoint_requested_delta,checkpoint_total_delta,checkpoint_buffers_written_delta,checkpoint_write_time_ms_delta,checkpoint_sync_time_ms_delta,avg_latency_ms,p95_latency_ms,p99_latency_ms
40GB,30s,mdonrelease,10,223536.35,4470768,88196441688,19727.358183,40,0,40,8450386,1073077.000,1711.000,1.156,3.000,12.000
40GB,30s,mdonrelease,50,655267.63,13105582,305332960488,23297.932170,40,0,40,30493391,1070481.000,6548.000,1.972,7.000,16.000
40GB,30s,mdonrelease,200,726102.51,14523091,518006738744,35667.802312,40,0,40,53769298,1070845.000,4292.000,7.137,18.000,29.000
40GB,30s,mdonrelease,400,673163.47,13464829,624613224976,46388.500365,40,0,40,65655713,1067143.000,5533.000,15.406,38.000,60.000
40GB,30s,mdonrelease,800,560674.71,11220372,660683776064,58882.519765,38,0,38,68427886,1169686.000,4989.000,36.978,94.000,171.000
40GB,1min,mdonrelease,10,230424.92,4608537,74871632416,16246.290833,20,0,20,6499977,1074137.000,966.000,1.121,2.000,12.000
40GB,1min,mdonrelease,50,689658.9,13793408,257136210912,18641.963677,20,0,20,22824310,1073805.000,4019.000,1.874,6.000,15.000
40GB,1min,mdonrelease,200,788894.66,15778393,405279057000,25685.699234,20,0,20,38879757,1073231.000,2868.000,6.568,18.000,29.000
40GB,1min,mdonrelease,400,716087.12,14323115,508605205952,35509.399034,0,22,22,51915761,1006165.000,3575.000,14.479,37.000,59.000
40GB,1min,mdonrelease,800,609346.25,12194227,615316086040,50459.622085,0,27,27,64299023,1065235.000,3312.000,34.025,91.000,159.000
40GB,2min,mdonrelease,10,227162.78,4543305,63063381256,13880.507969,10,0,10,4868719,1075772.000,492.000,1.138,3.000,12.000
40GB,2min,mdonrelease,50,703796.26,14076242,213561848656,15171.794337,9,1,10,16734433,1070091.000,2022.000,1.835,6.000,16.000
40GB,2min,mdonrelease,200,805062.46,16102041,379519004288,23569.621037,0,17,17,35882979,1048938.000,2822.000,6.435,18.000,29.000
40GB,2min,mdonrelease,400,713496.78,14272754,487891291304,34183.402257,0,21,21,49595326,1048102.000,3021.000,14.537,37.000,58.000
40GB,2min,mdonrelease,800,606046.92,12128100,606506680760,50008.383899,0,27,27,63594081,1075268.000,4520.000,34.222,91.000,157.000
40GB,2min,mdonrelease,1200,410562.26,8218259,472289180576,57468.276502,0,16,16,46060072,1094762.000,4958.000,75.750,203.000,352.000
40GB,4min,mdonrelease,10,226590.47,4531851,55218885144,12184.620621,5,0,5,3615949,862561.000,177.000,1.141,3.000,12.000
40GB,4min,mdonrelease,50,708577.74,14171921,213819950864,15087.577109,0,10,10,16519095,1009453.000,2184.000,1.822,6.000,15.000
40GB,4min,mdonrelease,200,799875.32,15998213,382414899576,23903.600957,0,17,17,36284053,1038815.000,2371.000,6.478,18.000,29.000
40GB,4min,mdonrelease,400,715154.61,14303438,516262935192,36093.625546,0,23,23,52654053,1037581.000,3410.000,14.502,37.000,58.000
40GB,4min,mdonrelease,800,628500.85,12576941,618146185136,49149.167921,0,26,26,62938043,1047009.000,3880.000,33.004,89.000,152.000
40GB,4min,mdonrelease,1200,400282.38,8011325,458133718928,57185.761273,0,16,16,46808664,1148597.000,5275.000,77.714,207.000,361.000
40GB,30s,mdoffrelease,10,226739.14,4534832,31504275760,6947.175939,40,0,40,8530001,1073433.000,1744.000,1.139,3.000,12.000
40GB,30s,mdoffrelease,50,692350.03,13847220,97006777256,7005.505600,40,0,40,31674818,1065178.000,8376.000,1.865,7.000,15.000
40GB,30s,mdoffrelease,200,920315.01,18406653,131786476128,7159.719702,40,0,40,59824941,1064928.000,8304.000,5.628,16.000,31.000
40GB,30s,mdoffrelease,400,905348.63,18108708,131827979232,7279.811416,40,0,40,75055843,1082284.000,6608.000,11.445,31.000,51.000
40GB,30s,mdoffrelease,800,880298.79,17609908,130840544080,7429.939105,26,0,26,69081241,1179054.000,6102.000,23.531,71.000,115.000
40GB,1min,mdoffrelease,10,227961.4,4559285,31588236400,6928.331175,20,0,20,6410019,1074212.000,1039.000,1.133,3.000,12.000
40GB,1min,mdoffrelease,50,713007.82,14260822,100000843200,7012.277637,20,0,20,23189370,1072807.000,4784.000,1.811,6.000,15.000
40GB,1min,mdoffrelease,200,968784.79,19376697,138201682560,7132.365364,20,0,20,42184050,1073299.000,3485.000,5.345,15.000,29.000
40GB,1min,mdoffrelease,400,943575.7,18876578,136735130472,7243.639736,21,0,21,52681992,1073492.000,2756.000,10.986,32.000,51.000
40GB,1min,mdoffrelease,800,906253.15,18134171,134318550920,7406.930867,20,0,20,61491943,1071168.000,5114.000,22.856,73.000,112.000
40GB,2min,mdoffrelease,10,221946.48,4438974,30823320232,6943.793821,10,0,10,4870796,1075284.000,494.000,1.165,3.000,12.000
40GB,2min,mdoffrelease,50,735449.02,14709103,102707294976,6982.566848,10,0,10,16770918,1077078.000,2034.000,1.755,5.000,15.000
40GB,2min,mdoffrelease,200,972551.26,19452241,138325431640,7111.028063,10,0,10,28277246,1077431.000,1371.000,5.326,15.000,30.000
40GB,2min,mdoffrelease,400,961524.9,19234264,138993537992,7226.350745,10,0,10,34452104,1075628.000,2359.000,10.774,32.000,51.000
40GB,2min,mdoffrelease,800,906616.14,18139062,133812984368,7377.061965,10,0,10,35232282,1074801.000,6282.000,22.838,73.000,114.000
40GB,4min,mdoffrelease,10,227770.9,4555475,31552379632,6926.254591,5,0,5,3648546,863288.000,171.000,1.135,3.000,12.000
40GB,4min,mdoffrelease,50,741941.56,14839128,103642435640,6984.402024,3,2,5,11796434,857180.000,829.000,1.740,5.000,15.000
40GB,4min,mdoffrelease,200,968878.99,19378468,137679197376,7104.751386,0,6,6,19696364,871190.000,817.000,5.345,15.000,31.000
40GB,4min,mdoffrelease,400,954570.85,19100740,137796772192,7214.211187,0,6,6,22099804,881743.000,1593.000,10.856,32.000,51.000
40GB,4min,mdoffrelease,800,917959.66,18367761,135246851088,7363.273678,0,6,6,19367291,893624.000,5901.000,22.551,72.000,114.000
40GB,30s,chunk,10,222490.17,4449848,42288329000,9503.319889,40,0,40,9071569,1068935.000,5643.000,1.161,3.000,12.000
40GB,30s,chunk,50,688492.52,13770034,156627959728,11374.551416,40,0,40,34380715,1062537.000,17493.000,1.876,6.000,15.000
40GB,30s,chunk,200,788325.39,15767848,245509179592,15570.240124,40,0,40,62038120,1058244.000,26265.000,6.573,17.000,38.000
40GB,30s,chunk,400,782618.28,15656631,252606624384,16134.162221,27,0,27,63790855,1160493.000,19300.000,13.246,37.000,77.000
40GB,30s,chunk,800,755329.39,15117024,229545128296,15184.544808,16,0,16,55262163,1182661.000,13678.000,27.436,87.000,152.000
40GB,1min,chunk,10,224117.22,4482393,38521373336,8593.930371,20,0,20,6897325,1071891.000,2879.000,1.154,2.000,12.000
40GB,1min,chunk,50,692098.87,13842658,138291113136,9990.213811,20,0,20,24984699,1070765.000,11481.000,1.865,6.000,16.000
40GB,1min,chunk,200,825045.28,16502707,201068818088,12183.990062,21,0,21,43211083,1071647.000,15298.000,6.279,17.000,36.000
40GB,1min,chunk,400,803435.59,16073546,232501211352,14464.836281,20,0,20,54271115,1075435.000,16629.000,12.906,37.000,72.000
40GB,1min,chunk,800,761867.16,15247400,231569892968,15187.500359,15,0,15,52984095,1141144.000,19426.000,27.198,85.000,150.000
40GB,2min,chunk,10,210352.42,4207101,33467220200,7954.936238,10,0,10,5117676,1074286.000,1504.000,1.230,3.000,14.000
40GB,2min,chunk,50,705063.18,14101440,127203013432,9020.569065,10,0,10,18672386,1075364.000,3678.000,1.832,6.000,16.000
40GB,2min,chunk,200,871852.14,17437784,173002823240,9921.147277,10,0,10,29589293,1074952.000,6946.000,5.941,16.000,35.000
40GB,2min,chunk,400,837590.84,16754595,186353923368,11122.556133,10,0,10,35894505,1075130.000,7112.000,12.379,36.000,70.000
40GB,2min,chunk,800,778627.2,15582199,204597971248,13130.237346,10,0,10,38259624,1073485.000,14868.000,26.616,83.000,146.000
40GB,2min,chunk,1200,624018.54,12522357,213320268496,17035.153086,2,7,9,29253332,1153113.000,32623.000,49.658,148.000,281.000
40GB,4min,chunk,10,216289.36,4325827,32766549392,7574.632409,5,0,5,3933336,863424.000,382.000,1.196,3.000,13.000
40GB,4min,chunk,50,705115.06,14102548,118121900224,8375.926125,2,3,5,13234994,789300.000,1238.000,1.832,5.000,16.000
40GB,4min,chunk,200,880389.57,17609112,163421705432,9280.519394,0,7,7,24287790,874459.000,4699.000,5.884,16.000,35.000
